lesson_id,document_id,concept_id,concept_label,should_extract,evidence_chunk_id,page,notes,reviewer,review_status
lesson_57,doc_23,,,,chunk_pdf_lesson_57_016,16,16,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_017,17,17,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_018,18,18,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_019,19,19,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_020,20,20,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_021,21,21,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_022,22,22,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_023,23,23,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_024,24,24,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_025,25,25,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_026,26,26,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_027,27,27,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_028,28,28,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_029,29,29,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_030,30,30,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_031,31,31,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_032,32,32,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_033,33,33,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_034,34,34,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_035,35,35,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_036,36,36,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_037,37,37,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_038,38,38,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_039,39,39,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_040,40,40,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_041,41,41,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_042,42,42,,
lesson_57,doc_23,,,,chunk_pdf_lesson_57_043,43,43,,
lesson_59,doc_25,,,,chunk_video_lesson_59_001,,00:00:00-00:00:05,,
lesson_59,doc_25,,,,chunk_video_lesson_59_002,,00:00:05-00:00:06,,
lesson_59,doc_25,,,,chunk_video_lesson_59_003,,00:00:06-00:00:10,,
lesson_59,doc_25,,,,chunk_video_lesson_59_004,,00:00:10-00:00:12,,
lesson_59,doc_25,,,,chunk_video_lesson_59_005,,00:00:12-00:00:15,,
lesson_59,doc_25,,,,chunk_video_lesson_59_006,,00:00:15-00:00:21,,
lesson_59,doc_25,,,,chunk_video_lesson_59_007,,00:00:21-00:00:26,,
lesson_59,doc_25,,,,chunk_video_lesson_59_008,,00:00:26-00:00:31,,
lesson_59,doc_25,,,,chunk_video_lesson_59_009,,00:00:31-00:00:37,,
lesson_59,doc_25,,,,chunk_video_lesson_59_010,,00:00:37-00:00:42,,
lesson_59,doc_25,,,,chunk_video_lesson_59_011,,00:00:42-00:00:46,,
lesson_59,doc_25,,,,chunk_video_lesson_59_012,,00:00:46-00:00:51,,
lesson_59,doc_25,,,,chunk_video_lesson_59_013,,00:00:51-00:00:58,,
lesson_59,doc_25,,,,chunk_video_lesson_59_014,,00:00:58-00:01:02,,
lesson_59,doc_25,,,,chunk_video_lesson_59_015,,00:01:02-00:01:08,,
lesson_59,doc_25,,,,chunk_video_lesson_59_016,,00:01:08-00:01:15,,
lesson_59,doc_25,,,,chunk_video_lesson_59_017,,00:01:15-00:01:18,,
lesson_59,doc_25,,,,chunk_video_lesson_59_018,,00:01:18-00:01:24,,
lesson_59,doc_25,,,,chunk_video_lesson_59_019,,00:01:24-00:01:27,,
lesson_59,doc_25,,,,chunk_video_lesson_59_020,,00:01:27-00:01:30,,
lesson_59,doc_25,,,,chunk_video_lesson_59_021,,00:01:30-00:01:33,,
lesson_59,doc_25,,,,chunk_video_lesson_59_022,,00:01:33-00:01:36,,
lesson_59,doc_25,,,,chunk_video_lesson_59_023,,00:01:36-00:01:40,,
lesson_59,doc_25,,,,chunk_video_lesson_59_024,,00:01:40-00:01:44,,
lesson_59,doc_25,,,,chunk_video_lesson_59_025,,00:01:44-00:01:48,,
lesson_59,doc_25,,,,chunk_video_lesson_59_026,,00:01:48-00:01:54,,
lesson_59,doc_25,,,,chunk_video_lesson_59_027,,00:01:54-00:02:01,,
lesson_59,doc_25,,,,chunk_video_lesson_59_028,,00:02:01-00:02:03,,
lesson_59,doc_25,,,,chunk_video_lesson_59_029,,00:02:03-00:02:11,,
lesson_59,doc_25,,,,chunk_video_lesson_59_030,,00:02:11-00:02:16,,
lesson_59,doc_25,,,,chunk_video_lesson_59_031,,00:02:16-00:02:21,,
lesson_59,doc_25,,,,chunk_video_lesson_59_032,,00:02:21-00:02:26,,
lesson_59,doc_25,,,,chunk_video_lesson_59_033,,00:02:26-00:02:30,,
lesson_59,doc_25,,,,chunk_video_lesson_59_034,,00:02:30-00:02:35,,
lesson_59,doc_25,,,,chunk_video_lesson_59_035,,00:02:35-00:02:40,,
lesson_59,doc_25,,,,chunk_video_lesson_59_036,,00:02:40-00:02:45,,
lesson_59,doc_25,,,,chunk_video_lesson_59_037,,00:02:45-00:02:49,,
lesson_59,doc_25,,,,chunk_video_lesson_59_038,,00:02:49-00:02:54,,
lesson_59,doc_25,,,,chunk_video_lesson_59_039,,00:02:54-00:02:59,,
lesson_59,doc_25,,,,chunk_video_lesson_59_040,,00:02:59-00:03:02,,
lesson_59,doc_25,,,,chunk_video_lesson_59_041,,00:03:02-00:03:06,,
lesson_59,doc_25,,,,chunk_video_lesson_59_042,,00:03:06-00:03:09,,
lesson_59,doc_25,,,,chunk_video_lesson_59_043,,00:03:09-00:03:13,,
lesson_59,doc_25,,,,chunk_video_lesson_59_044,,00:03:13-00:03:20,,
lesson_59,doc_25,,,,chunk_video_lesson_59_045,,00:03:20-00:03:22,,
lesson_59,doc_25,,,,chunk_video_lesson_59_046,,00:03:22-00:03:26,,
lesson_59,doc_25,,,,chunk_video_lesson_59_047,,00:03:26-00:03:31,,
lesson_59,doc_25,,,,chunk_video_lesson_59_048,,00:03:31-00:03:34,,
lesson_59,doc_25,,,,chunk_video_lesson_59_049,,00:03:34-00:03:37,,
lesson_59,doc_25,,,,chunk_video_lesson_59_050,,00:03:37-00:03:40,,
lesson_59,doc_25,,,,chunk_video_lesson_59_051,,00:03:40-00:03:44,,
lesson_59,doc_25,,,,chunk_video_lesson_59_052,,00:03:44-00:03:48,,
lesson_59,doc_25,,,,chunk_video_lesson_59_053,,00:03:48-00:03:52,,
lesson_59,doc_25,,,,chunk_video_lesson_59_054,,00:03:52-00:03:56,,
lesson_59,doc_25,,,,chunk_video_lesson_59_055,,00:03:56-00:04:01,,
lesson_59,doc_25,,,,chunk_video_lesson_59_056,,00:04:01-00:04:05,,
lesson_59,doc_25,,,,chunk_video_lesson_59_057,,00:04:05-00:04:09,,
lesson_59,doc_25,,,,chunk_video_lesson_59_058,,00:04:09-00:04:13,,
lesson_59,doc_25,,,,chunk_video_lesson_59_059,,00:04:13-00:04:16,,
lesson_59,doc_25,,,,chunk_video_lesson_59_060,,00:04:16-00:04:20,,
lesson_59,doc_25,,,,chunk_video_lesson_59_061,,00:04:20-00:04:25,,
lesson_59,doc_25,,,,chunk_video_lesson_59_062,,00:04:25-00:04:27,,
lesson_59,doc_25,,,,chunk_video_lesson_59_063,,00:04:27-00:04:32,,
lesson_59,doc_25,,,,chunk_video_lesson_59_064,,00:04:32-00:04:34,,
lesson_59,doc_25,,,,chunk_video_lesson_59_065,,00:04:34-00:04:38,,
lesson_59,doc_25,,,,chunk_video_lesson_59_066,,00:04:38-00:04:41,,
lesson_59,doc_25,,,,chunk_video_lesson_59_067,,00:04:41-00:04:45,,
lesson_59,doc_25,,,,chunk_video_lesson_59_068,,00:04:45-00:04:48,,
lesson_59,doc_25,,,,chunk_video_lesson_59_069,,00:04:48-00:04:51,,
lesson_59,doc_25,,,,chunk_video_lesson_59_070,,00:04:51-00:04:52,,
lesson_59,doc_25,,,,chunk_video_lesson_59_071,,00:04:52-00:04:56,,
lesson_59,doc_25,,,,chunk_video_lesson_59_072,,00:04:56-00:05:02,,
lesson_59,doc_25,,,,chunk_video_lesson_59_073,,00:05:02-00:05:06,,
lesson_59,doc_25,,,,chunk_video_lesson_59_074,,00:05:06-00:05:08,,
lesson_59,doc_25,,,,chunk_video_lesson_59_075,,00:05:08-00:05:12,,
lesson_59,doc_25,,,,chunk_video_lesson_59_076,,00:05:12-00:05:17,,
lesson_59,doc_25,,,,chunk_video_lesson_59_077,,00:05:17-00:05:24,,
lesson_59,doc_25,,,,chunk_video_lesson_59_078,,00:05:24-00:05:30,,
lesson_59,doc_25,,,,chunk_video_lesson_59_079,,00:05:30-00:05:33,,
lesson_59,doc_25,,,,chunk_video_lesson_59_080,,00:05:33-00:05:36,,
lesson_59,doc_25,,,,chunk_video_lesson_59_081,,00:05:36-00:05:39,,
lesson_59,doc_25,,,,chunk_video_lesson_59_082,,00:05:39-00:05:41,,
lesson_60,doc_26,,,,chunk_video_lesson_60_001,,00:00:03-00:00:07,,
lesson_60,doc_26,,,,chunk_video_lesson_60_002,,00:00:07-00:00:13,,
lesson_60,doc_26,,,,chunk_video_lesson_60_003,,00:00:13-00:00:17,,
lesson_60,doc_26,,,,chunk_video_lesson_60_004,,00:00:17-00:00:22,,
lesson_60,doc_26,,,,chunk_video_lesson_60_005,,00:00:22-00:00:26,,
lesson_60,doc_26,,,,chunk_video_lesson_60_006,,00:00:26-00:00:30,,
lesson_60,doc_26,,,,chunk_video_lesson_60_007,,00:00:30-00:00:34,,
lesson_60,doc_26,,,,chunk_video_lesson_60_008,,00:00:34-00:00:39,,
lesson_60,doc_26,,,,chunk_video_lesson_60_009,,00:00:39-00:00:43,,
lesson_60,doc_26,,,,chunk_video_lesson_60_010,,00:00:43-00:00:48,,
lesson_60,doc_26,,,,chunk_video_lesson_60_011,,00:00:48-00:00:53,,
lesson_60,doc_26,,,,chunk_video_lesson_60_012,,00:00:53-00:00:56,,
lesson_60,doc_26,,,,chunk_video_lesson_60_013,,00:00:56-00:01:01,,
lesson_60,doc_26,,,,chunk_video_lesson_60_014,,00:01:01-00:01:06,,
lesson_60,doc_26,,,,chunk_video_lesson_60_015,,00:01:06-00:01:11,,
lesson_60,doc_26,,,,chunk_video_lesson_60_016,,00:01:11-00:01:15,,
lesson_60,doc_26,,,,chunk_video_lesson_60_017,,00:01:15-00:01:19,,
lesson_60,doc_26,,,,chunk_video_lesson_60_018,,00:01:19-00:01:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_019,,00:01:23-00:01:26,,
lesson_60,doc_26,,,,chunk_video_lesson_60_020,,00:01:26-00:01:31,,
lesson_60,doc_26,,,,chunk_video_lesson_60_021,,00:01:31-00:01:36,,
lesson_60,doc_26,,,,chunk_video_lesson_60_022,,00:01:36-00:01:40,,
lesson_60,doc_26,,,,chunk_video_lesson_60_023,,00:01:40-00:01:44,,
lesson_60,doc_26,,,,chunk_video_lesson_60_024,,00:01:44-00:01:48,,
lesson_60,doc_26,,,,chunk_video_lesson_60_025,,00:01:48-00:01:53,,
lesson_60,doc_26,,,,chunk_video_lesson_60_026,,00:01:53-00:01:57,,
lesson_60,doc_26,,,,chunk_video_lesson_60_027,,00:01:57-00:02:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_028,,00:02:02-00:02:06,,
lesson_60,doc_26,,,,chunk_video_lesson_60_029,,00:02:06-00:02:09,,
lesson_60,doc_26,,,,chunk_video_lesson_60_030,,00:02:09-00:02:13,,
lesson_60,doc_26,,,,chunk_video_lesson_60_031,,00:02:13-00:02:17,,
lesson_60,doc_26,,,,chunk_video_lesson_60_032,,00:02:18-00:02:25,,
lesson_60,doc_26,,,,chunk_video_lesson_60_033,,00:02:25-00:02:30,,
lesson_60,doc_26,,,,chunk_video_lesson_60_034,,00:02:30-00:02:34,,
lesson_60,doc_26,,,,chunk_video_lesson_60_035,,00:02:34-00:02:38,,
lesson_60,doc_26,,,,chunk_video_lesson_60_036,,00:02:38-00:02:43,,
lesson_60,doc_26,,,,chunk_video_lesson_60_037,,00:02:43-00:02:47,,
lesson_60,doc_26,,,,chunk_video_lesson_60_038,,00:02:47-00:02:52,,
lesson_60,doc_26,,,,chunk_video_lesson_60_039,,00:02:52-00:02:56,,
lesson_60,doc_26,,,,chunk_video_lesson_60_040,,00:02:56-00:03:00,,
lesson_60,doc_26,,,,chunk_video_lesson_60_041,,00:03:00-00:03:05,,
lesson_60,doc_26,,,,chunk_video_lesson_60_042,,00:03:05-00:03:09,,
lesson_60,doc_26,,,,chunk_video_lesson_60_043,,00:03:09-00:03:15,,
lesson_60,doc_26,,,,chunk_video_lesson_60_044,,00:03:15-00:03:19,,
lesson_60,doc_26,,,,chunk_video_lesson_60_045,,00:03:19-00:03:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_046,,00:03:23-00:03:29,,
lesson_60,doc_26,,,,chunk_video_lesson_60_047,,00:03:29-00:03:33,,
lesson_60,doc_26,,,,chunk_video_lesson_60_048,,00:03:33-00:03:36,,
lesson_60,doc_26,,,,chunk_video_lesson_60_049,,00:03:36-00:03:41,,
lesson_60,doc_26,,,,chunk_video_lesson_60_050,,00:03:41-00:03:44,,
lesson_60,doc_26,,,,chunk_video_lesson_60_051,,00:03:44-00:03:48,,
lesson_60,doc_26,,,,chunk_video_lesson_60_052,,00:03:48-00:03:52,,
lesson_60,doc_26,,,,chunk_video_lesson_60_053,,00:03:52-00:03:55,,
lesson_60,doc_26,,,,chunk_video_lesson_60_054,,00:03:55-00:03:59,,
lesson_60,doc_26,,,,chunk_video_lesson_60_055,,00:03:59-00:04:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_056,,00:04:02-00:04:09,,
lesson_60,doc_26,,,,chunk_video_lesson_60_057,,00:04:09-00:04:14,,
lesson_60,doc_26,,,,chunk_video_lesson_60_058,,00:04:14-00:04:17,,
lesson_60,doc_26,,,,chunk_video_lesson_60_059,,00:04:17-00:04:20,,
lesson_60,doc_26,,,,chunk_video_lesson_60_060,,00:04:20-00:04:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_061,,00:04:23-00:04:26,,
lesson_60,doc_26,,,,chunk_video_lesson_60_062,,00:04:26-00:04:29,,
lesson_60,doc_26,,,,chunk_video_lesson_60_063,,00:04:29-00:04:33,,
lesson_60,doc_26,,,,chunk_video_lesson_60_064,,00:04:33-00:04:36,,
lesson_60,doc_26,,,,chunk_video_lesson_60_065,,00:04:36-00:04:39,,
lesson_60,doc_26,,,,chunk_video_lesson_60_066,,00:04:39-00:04:42,,
lesson_60,doc_26,,,,chunk_video_lesson_60_067,,00:04:42-00:04:46,,
lesson_60,doc_26,,,,chunk_video_lesson_60_068,,00:04:46-00:04:50,,
lesson_60,doc_26,,,,chunk_video_lesson_60_069,,00:04:50-00:04:53,,
lesson_60,doc_26,,,,chunk_video_lesson_60_070,,00:04:53-00:04:55,,
lesson_60,doc_26,,,,chunk_video_lesson_60_071,,00:04:55-00:04:59,,
lesson_60,doc_26,,,,chunk_video_lesson_60_072,,00:04:59-00:05:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_319,,00:15:00-00:15:03,,
lesson_60,doc_26,,,,chunk_video_lesson_60_320,,00:15:03-00:15:05,,
lesson_60,doc_26,,,,chunk_video_lesson_60_321,,00:15:05-00:15:08,,
lesson_60,doc_26,,,,chunk_video_lesson_60_322,,00:15:08-00:15:09,,
lesson_60,doc_26,,,,chunk_video_lesson_60_323,,00:15:09-00:15:12,,
lesson_60,doc_26,,,,chunk_video_lesson_60_324,,00:15:12-00:15:16,,
lesson_60,doc_26,,,,chunk_video_lesson_60_325,,00:15:16-00:15:19,,
lesson_60,doc_26,,,,chunk_video_lesson_60_326,,00:15:19-00:15:21,,
lesson_60,doc_26,,,,chunk_video_lesson_60_327,,00:15:21-00:15:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_328,,00:15:23-00:15:27,,
lesson_60,doc_26,,,,chunk_video_lesson_60_329,,00:15:27-00:15:29,,
lesson_60,doc_26,,,,chunk_video_lesson_60_330,,00:15:29-00:15:31,,
lesson_60,doc_26,,,,chunk_video_lesson_60_331,,00:15:31-00:15:33,,
lesson_60,doc_26,,,,chunk_video_lesson_60_332,,00:15:33-00:15:36,,
lesson_60,doc_26,,,,chunk_video_lesson_60_333,,00:15:36-00:15:40,,
lesson_60,doc_26,,,,chunk_video_lesson_60_334,,00:15:40-00:15:43,,
lesson_60,doc_26,,,,chunk_video_lesson_60_335,,00:15:43-00:15:45,,
lesson_60,doc_26,,,,chunk_video_lesson_60_336,,00:15:45-00:15:47,,
lesson_60,doc_26,,,,chunk_video_lesson_60_337,,00:15:47-00:15:50,,
lesson_60,doc_26,,,,chunk_video_lesson_60_338,,00:15:50-00:15:52,,
lesson_60,doc_26,,,,chunk_video_lesson_60_339,,00:15:52-00:15:54,,
lesson_60,doc_26,,,,chunk_video_lesson_60_340,,00:15:54-00:15:56,,
lesson_60,doc_26,,,,chunk_video_lesson_60_341,,00:15:56-00:15:58,,
lesson_60,doc_26,,,,chunk_video_lesson_60_342,,00:15:58-00:16:00,,
lesson_60,doc_26,,,,chunk_video_lesson_60_343,,00:16:00-00:16:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_344,,00:16:02-00:16:04,,
lesson_60,doc_26,,,,chunk_video_lesson_60_345,,00:16:04-00:16:08,,
lesson_60,doc_26,,,,chunk_video_lesson_60_346,,00:16:08-00:16:10,,
lesson_60,doc_26,,,,chunk_video_lesson_60_347,,00:16:10-00:16:12,,
lesson_60,doc_26,,,,chunk_video_lesson_60_348,,00:16:12-00:16:17,,
lesson_60,doc_26,,,,chunk_video_lesson_60_349,,00:16:17-00:16:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_350,,00:16:23-00:16:26,,
lesson_60,doc_26,,,,chunk_video_lesson_60_351,,00:16:26-00:16:30,,
lesson_60,doc_26,,,,chunk_video_lesson_60_352,,00:16:30-00:16:31,,
lesson_60,doc_26,,,,chunk_video_lesson_60_353,,00:16:31-00:16:33,,
lesson_60,doc_26,,,,chunk_video_lesson_60_354,,00:16:33-00:16:35,,
lesson_60,doc_26,,,,chunk_video_lesson_60_355,,00:16:35-00:16:40,,
lesson_60,doc_26,,,,chunk_video_lesson_60_356,,00:16:40-00:16:42,,
lesson_60,doc_26,,,,chunk_video_lesson_60_357,,00:16:42-00:16:46,,
lesson_60,doc_26,,,,chunk_video_lesson_60_358,,00:16:46-00:16:50,,
lesson_60,doc_26,,,,chunk_video_lesson_60_359,,00:16:50-00:16:53,,
lesson_60,doc_26,,,,chunk_video_lesson_60_360,,00:16:53-00:16:55,,
lesson_60,doc_26,,,,chunk_video_lesson_60_361,,00:16:55-00:16:59,,
lesson_60,doc_26,,,,chunk_video_lesson_60_362,,00:16:59-00:17:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_363,,00:17:02-00:17:04,,
lesson_60,doc_26,,,,chunk_video_lesson_60_364,,00:17:04-00:17:09,,
lesson_60,doc_26,,,,chunk_video_lesson_60_365,,00:17:09-00:17:11,,
lesson_60,doc_26,,,,chunk_video_lesson_60_366,,00:17:11-00:17:13,,
lesson_60,doc_26,,,,chunk_video_lesson_60_367,,00:17:13-00:17:16,,
lesson_60,doc_26,,,,chunk_video_lesson_60_368,,00:17:16-00:17:19,,
lesson_60,doc_26,,,,chunk_video_lesson_60_369,,00:17:19-00:17:20,,
lesson_60,doc_26,,,,chunk_video_lesson_60_370,,00:17:20-00:17:23,,
lesson_60,doc_26,,,,chunk_video_lesson_60_371,,00:17:23-00:17:25,,
lesson_60,doc_26,,,,chunk_video_lesson_60_372,,00:17:25-00:17:28,,
lesson_60,doc_26,,,,chunk_video_lesson_60_373,,00:17:28-00:17:32,,
lesson_60,doc_26,,,,chunk_video_lesson_60_374,,00:17:32-00:17:35,,
lesson_60,doc_26,,,,chunk_video_lesson_60_375,,00:17:35-00:17:39,,
lesson_60,doc_26,,,,chunk_video_lesson_60_376,,00:17:39-00:17:41,,
lesson_60,doc_26,,,,chunk_video_lesson_60_377,,00:17:41-00:17:43,,
lesson_60,doc_26,,,,chunk_video_lesson_60_378,,00:17:43-00:17:45,,
lesson_60,doc_26,,,,chunk_video_lesson_60_379,,00:17:45-00:17:50,,
lesson_60,doc_26,,,,chunk_video_lesson_60_380,,00:17:50-00:17:52,,
lesson_60,doc_26,,,,chunk_video_lesson_60_381,,00:17:52-00:17:55,,
lesson_60,doc_26,,,,chunk_video_lesson_60_382,,00:17:55-00:17:57,,
lesson_60,doc_26,,,,chunk_video_lesson_60_383,,00:17:57-00:18:00,,
lesson_60,doc_26,,,,chunk_video_lesson_60_384,,00:18:00-00:18:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_385,,00:18:02-00:18:06,,
lesson_60,doc_26,,,,chunk_video_lesson_60_386,,00:18:06-00:18:08,,
lesson_60,doc_26,,,,chunk_video_lesson_60_387,,00:18:08-00:18:10,,
lesson_60,doc_26,,,,chunk_video_lesson_60_388,,00:18:10-00:18:13,,
lesson_60,doc_26,,,,chunk_video_lesson_60_389,,00:18:13-00:18:15,,
lesson_60,doc_26,,,,chunk_video_lesson_60_390,,00:18:15-00:18:20,,
lesson_60,doc_26,,,,chunk_video_lesson_60_391,,00:18:20-00:18:22,,
lesson_60,doc_26,,,,chunk_video_lesson_60_392,,00:18:22-00:18:25,,
lesson_60,doc_26,,,,chunk_video_lesson_60_393,,00:18:25-00:18:26,,
lesson_60,doc_26,,,,chunk_video_lesson_60_394,,00:18:26-00:18:28,,
lesson_60,doc_26,,,,chunk_video_lesson_60_395,,00:18:28-00:18:31,,
lesson_60,doc_26,,,,chunk_video_lesson_60_396,,00:18:31-00:18:33,,
lesson_60,doc_26,,,,chunk_video_lesson_60_397,,00:18:33-00:18:35,,
lesson_60,doc_26,,,,chunk_video_lesson_60_398,,00:18:35-00:18:37,,
lesson_60,doc_26,,,,chunk_video_lesson_60_399,,00:18:37-00:18:39,,
lesson_60,doc_26,,,,chunk_video_lesson_60_400,,00:18:39-00:18:41,,
lesson_60,doc_26,,,,chunk_video_lesson_60_401,,00:18:41-00:18:44,,
lesson_60,doc_26,,,,chunk_video_lesson_60_402,,00:18:44-00:18:47,,
lesson_60,doc_26,,,,chunk_video_lesson_60_403,,00:18:47-00:18:49,,
lesson_60,doc_26,,,,chunk_video_lesson_60_404,,00:18:49-00:18:51,,
lesson_60,doc_26,,,,chunk_video_lesson_60_405,,00:18:51-00:18:53,,
lesson_60,doc_26,,,,chunk_video_lesson_60_406,,00:18:53-00:18:55,,
lesson_60,doc_26,,,,chunk_video_lesson_60_407,,00:18:55-00:18:57,,
lesson_60,doc_26,,,,chunk_video_lesson_60_408,,00:18:57-00:19:00,,
lesson_60,doc_26,,,,chunk_video_lesson_60_409,,00:19:00-00:19:02,,
lesson_60,doc_26,,,,chunk_video_lesson_60_410,,00:19:02-00:19:05,,
